GEO_CODE,GEO_NAME,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
AT11,Burgenland,12.8,12.3,14.3,16.0,13.7,15.4,15.6,13.7,14.9,17.1,16.4,16.9,15.5,18.6,32.0,41.3,38.8,37.0,37.2,39.0,44.2,44.6,41.5,41.0,41.6,43.4
AT12,Niederösterreich,13.8,13.8,13.9,12.7,18.8,16.0,16.2,15.8,15.6,17.1,16.2,17.9,19.5,19.6,38.7,39.0,40.0,41.2,39.0,38.9,38.7,40.2,39.4,39.7,44.1,39.5
AT13,Wien,20.5,19.9,21.9,22.7,28.5,28.4,24.8,24.6,24.7,29.5,29.6,27.7,30.8,36.0,47.1,48.2,46.3,47.6,48.2,50.5,50.1,51.6,52.2,51.6,53.1,51.1
AT21,Kärnten,11.6,13.5,16.8,18.3,18.1,17.4,16.6,14.2,16.6,20.1,17.9,16.6,20.0,19.7,37.7,38.3,35.2,38.5,37.6,38.4,36.4,42.1,39.2,42.1,39.7,42.8
AT22,Steiermark,11.3,15.3,14.8,16.8,18.1,18.1,19.9,18.4,15.9,17.8,18.3,20.1,21.8,23.5,35.3,32.5,39.1,39.0,40.5,41.3,39.9,38.7,41.9,43.4,41.7,43.8
AT31,Oberösterreich,12.9,13.5,16.5,14.6,17.3,18.2,18.0,17.7,20.7,19.8,18.6,17.8,18.3,19.4,32.7,34.0,36.3,36.2,35.7,37.3,36.7,36.4,39.1,39.8,39.2,40.7
AT32,Salzburg,17.7,16.8,14.8,16.1,18.6,19.3,18.4,18.9,17.5,18.3,18.2,19.8,23.6,26.6,34.6,37.8,37.4,38.7,39.0,39.6,38.7,42.1,40.3,41.8,39.9,44.0
AT33,Tirol,11.3,12.9,16.0,17.7,18.0,17.2,16.1,16.6,19.8,19.3,20.0,23.4,23.7,22.9,37.1,32.5,35.4,34.2,37.8,37.6,40.4,40.2,41.1,41.1,40.3,37.5
AT34,Vorarlberg,15.6,16.4,14.3,14.6,15.3,14.2,14.2,17.1,17.5,17.8,16.6,16.1,17.9,21.3,31.5,30.6,32.2,32.1,30.4,31.9,32.4,34.1,33.2,32.2,34.0,36.6
BE10,Région de Bruxelles-Capitale/ Brussels Hoofdstedelijk Gewest,43.0,42.5,43.8,45.7,46.0,47.7,47.7,46.3,44.9,45.5,46.4,46.0,44.9,44.7,48.2,48.3,48.9,51.8,54.0,53.8,55.9,56.7,58.1,61.6,59.7,63.5
BE21,Prov. Antwerpen,36.3,41.6,37.4,40.4,41.0,40.7,43.8,40.5,40.5,41.7,45.0,41.8,40.2,43.0,46.7,44.3,40.7,40.7,47.9,48.2,49.0,51.9,52.6,52.4,53.0,51.5
BE22,Prov. Limburg (BE),31.9,31.8,34.0,31.7,39.4,35.4,37.2,37.4,38.5,38.2,35.8,37.8,40.3,38.3,38.4,40.5,42.9,44.3,45.9,50.6,50.2,48.3,51.6,46.8,45.3,49.2
BE23,Prov. Oost-Vlaanderen,40.0,37.0,39.3,38.1,41.9,42.7,43.5,42.6,44.8,44.7,44.7,43.2,47.7,46.7,47.1,46.2,50.1,50.5,50.8,48.7,54.0,59.2,59.6,53.2,57.0,56.4
BE24,Prov. Vlaams-Brabant,46.0,46.6,47.9,49.3,54.0,52.7,52.7,51.9,54.2,55.6,58.0,50.7,53.9,49.8,55.2,51.8,55.2,54.9,55.4,57.6,58.4,58.6,57.0,54.7,54.3,57.8
BE25,Prov. West-Vlaanderen,30.7,33.6,34.2,35.5,34.1,39.1,38.2,39.2,42.6,41.1,40.0,41.8,44.6,43.3,40.9,40.8,46.2,48.7,43.3,43.0,44.3,47.2,48.9,48.5,47.8,51.3
BE31,Prov. Brabant Wallon,46.5,49.1,50.1,51.3,49.4,52.5,50.4,54.7,54.6,55.6,55.3,60.2,55.1,56.1,52.4,56.4,55.3,61.3,62.7,54.8,57.4,56.3,58.1,61.2,64.4,66.7
BE32,Prov. Hainaut,27.8,29.3,29.6,30.2,33.4,28.2,31.8,31.4,33.2,31.1,38.4,33.6,32.4,33.9,33.5,31.8,33.6,36.0,36.5,35.8,32.0,37.2,37.3,34.7,37.8,40.9
BE33,Prov. Liège,29.1,34.3,32.3,37.5,36.7,36.4,37.0,38.1,37.9,39.9,38.4,41.2,39.3,38.5,40.7,38.8,38.1,37.9,41.6,42.2,41.0,44.5,45.1,40.5,44.3,47.0
BE34,Prov. Luxembourg (BE),36.5,35.9,38.3,35.8,36.3,36.0,42.4,39.2,42.0,41.2,41.7,36.7,40.0,37.7,41.9,36.6,40.9,40.6,42.5,45.4,47.3,46.7,44.0,42.7,42.4,46.4
BE35,Prov. Namur,32.3,33.5,34.1,35.3,35.9,37.5,38.0,40.7,38.7,39.1,39.8,39.9,39.4,38.9,38.8,38.1,37.0,41.6,41.7,37.5,44.5,45.6,41.0,46.2,40.3,43.6
BG31,Severozapaden,,,,22.2,21.1,17.1,20.4,17.9,18.4,16.8,19.0,17.3,18.8,20.6,22.3,19.7,19.1,18.9,20.0,18.2,20.0,20.8,21.0,24.3,30.2,30.5
BG32,Severen tsentralen,,,,22.3,24.0,20.5,18.7,22.8,25.3,26.4,22.5,22.6,22.1,23.6,25.5,29.2,31.3,31.6,32.5,33.9,34.5,33.9,33.7,32.2,39.9,41.6
BG33,Severoiztochen,,,,21.0,23.2,23.7,23.1,24.2,24.3,26.1,26.4,29.2,28.8,31.4,32.3,29.4,31.1,35.9,33.9,26.3,24.3,28.2,32.0,31.7,37.7,42.4
BG34,Yugoiztochen,,,,20.7,20.2,18.9,19.4,18.2,18.2,19.1,19.7,22.7,22.1,23.1,20.6,23.5,25.0,23.9,21.7,22.8,25.2,24.8,23.5,25.1,30.5,33.5
BG41,Yugozapaden,23.7,30.8,31.3,31.7,32.9,34.3,35.2,36.9,37.4,38.5,39.4,36.9,36.5,39.3,43.7,44.3,45.6,45.1,46.5,45.2,47.6,46.5,46.1,48.3,49.6,48.4
BG42,Yuzhen tsentralen,,,,17.3,17.7,17.1,17.9,14.6,17.7,18.9,20.0,20.1,21.1,23.1,24.4,25.1,24.1,25.0,27.2,27.3,23.7,26.5,27.6,32.1,34.2,36.6
CH01,Région lémanique,,27.7,29.8,32.5,34.2,35.5,36.2,42.0,42.0,46.1,42.2,44.5,44.7,44.4,47.3,46.3,48.8,51.7,53.3,53.7,54.4,51.6,50.9,52.3,50.8,51.5
CH02,Espace Mittelland,,26.1,25.3,28.7,29.8,32.8,31.6,32.6,37.1,37.4,35.2,34.0,37.4,40.8,41.4,45.0,46.2,46.4,46.9,47.1,48.0,48.8,46.9,47.3,45.9,45.4
CH03,Nordwestschweiz,,28.8,23.0,29.2,29.6,29.9,31.0,32.4,39.1,36.5,36.5,36.0,37.3,40.4,43.5,44.4,46.4,45.3,48.2,50.7,49.8,47.8,47.0,49.6,48.0,47.1
CH04,Zürich,,29.2,33.9,34.9,33.8,33.3,37.3,39.3,43.2,45.5,41.7,45.1,45.3,49.3,50.3,54.9,60.2,62.2,61.2,64.3,63.6,64.7,64.3,63.1,63.4,62.0
CH05,Ostschweiz,,18.7,21.5,22.0,26.2,22.9,25.6,28.7,31.3,33.3,31.1,30.9,32.0,34.3,37.2,39.9,39.6,40.6,42.3,44.8,46.6,46.5,45.2,46.0,45.0,44.4
CH06,Zentralschweiz,,21.8,22.2,25.8,26.3,27.4,27.7,30.0,33.8,36.5,34.8,32.9,33.1,37.3,42.8,42.8,47.7,48.5,51.3,51.8,49.6,48.1,47.5,48.7,49.7,49.2
CH07,Ticino,,18.9,27.1,25.1,27.9,30.0,32.3,36.1,38.7,40.8,35.4,36.4,38.6,41.2,42.8,52.6,49.6,55.0,56.8,55.3,58.6,54.1,49.2,51.1,52.0,52.5
CY00,Kýpros,32.7,36.2,41.0,43.9,42.7,41.3,44.6,47.0,48.0,47.8,48.1,50.5,53.6,51.4,54.0,54.7,56.2,57.0,58.5,59.1,57.4,58.8,59.2,61.7,60.3,60.0
CZ01,Praha,25.0,24.9,25.3,24.0,28.1,26.6,29.0,26.0,32.1,33.6,39.9,42.3,45.4,48.6,46.8,47.9,55.0,56.9,53.7,57.3,57.2,59.9,59.4,60.5,57.2,61.5
CZ02,Střední Čechy,7.9,8.8,7.3,6.6,8.6,10.6,11.4,12.0,15.3,17.0,19.2,23.0,24.4,25.8,27.4,27.8,26.2,28.2,31.6,29.7,27.4,29.2,29.7,25.5,24.8,28.6
CZ03,Jihozápad,9.4,10.1,12.0,10.7,11.1,11.7,11.4,14.7,16.0,18.2,20.9,23.1,27.5,27.5,25.5,26.6,28.0,28.9,28.7,26.3,25.0,28.8,31.3,32.3,29.2,29.6
CZ04,Severozápad,7.4,6.9,7.8,6.0,5.8,7.7,8.3,7.3,6.8,8.4,9.6,11.0,15.2,16.0,17.1,15.6,18.6,20.1,20.0,18.9,15.6,18.7,18.0,19.9,19.1,19.7
CZ05,Severovýchod,9.2,8.6,9.2,9.9,9.7,11.7,12.9,12.0,15.1,19.6,21.0,22.4,23.2,25.4,27.7,28.2,27.6,30.6,31.0,28.3,28.5,30.9,30.1,27.7,28.8,31.5
CZ06,Jihovýchod,13.2,13.3,13.9,15.1,14.9,16.5,17.3,19.0,20.1,22.8,24.2,27.8,31.3,32.7,35.7,38.1,37.7,36.1,37.7,38.3,41.2,39.3,37.1,37.3,38.4,42.2
CZ07,Střední Morava,10.6,10.8,10.8,10.9,12.4,14.4,14.4,15.3,16.7,18.9,19.7,22.1,25.7,28.2,29.1,30.6,30.3,30.1,28.7,27.3,30.8,34.1,34.2,29.8,30.5,32.9
CZ08,Moravskoslezsko,11.0,11.7,10.8,12.3,12.2,13.4,15.7,15.6,16.5,19.7,22.1,24.2,25.4,24.1,23.8,26.5,30.9,33.9,28.4,26.5,29.2,30.4,30.7,29.0,30.7,32.3
DE11,Stuttgart,26.2,27.2,24.3,25.4,26.1,27.3,26.9,26.5,28.7,31.6,31.2,32.6,34.5,36.8,34.5,36.7,38.2,37.4,38.3,40.5,43.1,42.9,41.6,41.9,43.7,43.1
DE12,Karlsruhe,26.4,28.2,24.8,24.7,24.4,26.5,25.1,27.0,26.9,29.2,31.1,32.3,35.3,34.4,34.9,35.3,37.5,37.0,37.0,39.4,42.5,40.0,42.7,41.5,42.7,45.6
DE13,Freiburg,20.8,23.6,21.9,22.5,25.6,23.1,22.4,24.3,24.1,27.1,25.7,28.7,30.3,31.5,29.0,30.0,32.0,32.5,33.1,33.8,38.9,41.4,39.2,37.7,38.7,42.8
DE14,Tübingen,24.2,23.5,22.7,27.9,28.8,25.8,24.2,24.9,24.4,28.4,28.2,32.0,35.3,37.5,31.9,33.7,34.8,34.3,35.0,37.4,34.6,35.2,37.6,41.3,45.6,47.4
DE21,Oberbayern,31.1,28.1,28.1,30.4,31.4,31.3,31.2,31.7,33.2,36.0,36.2,36.8,40.0,41.8,43.0,42.0,43.6,44.8,46.8,47.4,46.1,47.9,49.3,50.5,51.5,57.2
DE22,Niederbayern,19.3,17.5,15.7,14.2,18.5,18.1,18.3,19.4,20.7,22.4,23.7,25.5,26.3,28.1,23.5,23.6,25.3,27.5,26.7,27.8,31.3,34.1,33.5,32.7,29.8,33.3
DE23,Oberpfalz,17.5,17.7,15.6,19.0,19.3,20.1,20.4,22.6,24.7,24.3,26.0,28.9,32.0,33.5,31.8,32.1,29.9,28.7,31.1,33.8,35.8,39.3,37.0,40.6,40.8,40.3
DE24,Oberfranken,18.1,16.9,18.4,15.6,12.4,15.7,17.3,21.0,22.1,25.8,26.9,30.3,29.6,29.1,25.2,25.7,26.6,29.3,29.9,32.8,35.3,39.1,34.0,32.8,34.4,34.1
DE25,Mittelfranken,24.2,24.5,21.6,22.1,24.8,23.2,23.0,24.3,25.8,26.8,28.9,28.4,31.0,31.0,30.4,31.8,31.2,33.8,35.1,34.2,39.3,39.9,37.5,42.7,42.0,45.4
DE26,Unterfranken,17.8,18.6,18.0,20.4,21.8,22.5,23.3,24.8,27.3,26.8,27.6,27.8,31.1,35.0,29.9,32.6,34.0,32.7,30.7,31.9,36.4,39.8,37.2,37.9,39.0,42.5
DE27,Schwaben,20.4,21.1,18.4,20.7,23.1,20.8,19.4,17.8,19.6,21.8,21.9,24.6,24.3,26.6,27.7,27.9,28.1,28.5,29.1,30.3,36.6,37.0,36.1,39.3,38.2,38.8
DE30,Berlin,29.2,28.8,27.6,27.9,32.1,30.9,29.9,30.4,30.7,33.4,34.6,35.3,37.8,38.2,37.0,38.9,42.4,45.2,47.2,49.1,47.7,52.5,55.5,53.5,53.6,55.3
DE40,Brandenburg,23.2,18.6,19.6,20.3,20.1,20.8,19.5,19.8,21.3,21.5,19.3,19.8,18.9,21.3,18.0,18.6,21.0,20.1,23.2,21.6,25.3,28.8,31.8,31.7,31.1,31.8
DE50,Bremen,18.9,18.4,15.6,16.0,20.4,18.6,19.9,18.0,24.0,23.4,26.7,27.5,28.6,29.7,32.3,31.0,28.3,30.5,30.2,29.7,34.6,35.7,31.5,34.3,32.7,39.9
DE60,Hamburg,26.3,27.1,24.2,23.1,25.4,24.7,25.7,25.1,27.3,30.3,30.8,33.4,33.0,34.5,37.6,40.9,39.7,38.3,41.3,39.6,39.0,47.8,41.6,44.8,47.3,48.7
DE71,Darmstadt,27.6,28.6,25.7,29.7,28.0,27.7,25.7,26.3,25.4,28.0,30.7,31.8,33.5,32.7,33.2,34.4,36.4,37.5,37.5,38.5,36.6,39.6,39.4,41.6,42.9,43.7
