procom,dzcom,pop_2018,var_perc,ivsm,agmax_50,e31_pct,a7,a7_pct,persone_per_abitazione,erecq_txt
069001,Altino,3104,9.142053445850914,98.36733903419044,0.155,1.281,261,18.419,2.191,entro il 1980
069002,Archi,2136,-6.315789473684211,98.01829439441585,0.1368,3.66,477,33.83,1.515,entro il 1960
069003,Ari,1148,-1.119724375538329,101.3924490890255,0.1508,0.563,172,27.564,1.84,entro il 1980
069004,Arielli,1129,-1.138353765323993,100.33622525190482,0.146,4.507,64,12.598,2.222,entro il 1990
069005,Atessa,10580,-1.736788334726479,97.98170340827868,0.138,3.105,1044,20.339,2.061,entro il 1980
069006,Bomba,785,-11.5990990990991,97.4012284372985,0.1375,1.49,447,53.986,0.948,entro il 1918
069007,Borrello,335,-9.703504043126685,100.90621344641904,0.1865,1.377,780,80.997,0.348,entro il 1970
069008,Bucchianico,5126,-1.9135093761959432,99.74264677518836,0.1718,0.367,562,23.417,2.136,entro il 1980
069010,Canosa Sannita,1345,-6.597222222222222,100.43142606304562,0.1422,0.68,69,11.275,2.198,entro il 1980
069011,Carpineto Sinello,574,-13.030303030303031,97.1721600512882,0.1175,0.0,55,15.11,1.577,entro il 1970
069012,Carunchio,640,0.1564945226917058,97.81543674176274,0.138,0.248,988,77.612,0.503,entro il 1970
069013,Casacanditella,1262,-6.171003717472119,100.06921346023695,0.1661,0.172,225,30.529,1.712,entro il 1980
069014,Casalanguida,889,-11.45418326693227,98.38132290325557,0.1061,0.0,110,19.856,1.605,entro il 1970
069015,Casalbordino,6090,-3.164255048497376,98.93226133269538,0.1005,1.139,1528,37.626,1.5,entro il 1980
069016,Casalincontrada,3047,-3.2391235312797715,97.94949420924685,0.1748,0.525,106,8.275,2.379,entro il 1990
069017,Casoli,5585,-4.52991452991453,98.95132398470751,0.1692,2.93,657,22.211,1.888,entro il 1980
069018,Castel Frentano,4385,1.59870250231696,98.67279272251824,0.1379,5.501,1119,39.879,1.563,entro il 1980
069019,Castelguidone,363,-12.530120481927712,96.6639754310717,0.1737,13.274,554,74.966,0.491,entro il 1970
069020,Castiglione Messer Marino,1712,-9.370037056643726,100.38370002004127,0.1574,0.476,3489,81.064,0.398,entro il 1980
069021,Celenza sul Trigno,904,-6.707946336429309,96.8230821100006,0.1451,0.375,419,50.421,1.088,entro il 1990
069022,Chieti,50770,-1.273699562469616,99.56653951057147,0.1702,0.838,3832,15.727,2.084,entro il 1980
069023,Civitaluparella,327,-6.303724928366762,97.39964014621289,0.1869,0.938,169,49.853,0.965,entro il 1970
069024,Civitella Messer Raimondo,818,-4.994192799070848,97.75464654540305,0.1811,0.0,212,35.75,1.379,entro il 1980
069025,Colledimacine,188,-17.903930131004365,98.68916886453195,0.1962,6.271,669,83.002,0.233,entro il 1960
069026,Colledimezzo,482,-8.712121212121213,102.45456674557587,0.1389,4.114,219,48.451,1.066,entro il 1945
069027,Crecchio,2842,-3.135650988411725,100.41941606823497,0.1332,1.662,262,19.48,2.113,entro il 1980
069028,Cupello,4832,-0.7599096323680428,99.40033705385665,0.1067,0.0,332,15.139,2.203,entro il 1990
069029,Dogliola,346,-11.282051282051283,95.95326057449279,0.1191,0.0,112,41.328,1.277,entro il 1970
069104,Fallo,138,-4.827586206896552,105.47736797989795,0.1537,0.935,141,64.384,0.63,entro il 1945
069030,Fara Filiorum Petri,1986,1.1716760061130922,98.67241506991607,0.1738,0.448,244,25.026,2.037,entro il 1980
069031,Fara San Martino,1379,-9.63302752293578,97.92026036343209,0.2011,5.994,367,36.517,1.372,entro il 1960
069032,Filetto,918,-10.526315789473683,98.76143224368113,0.1632,0.795,124,21.793,1.613,entro il 1980
069033,Fossacesia,6358,1.4358647096362476,98.23560230657937,0.1077,4.305,892,27.497,1.96,entro il 1990
069034,Fraine,318,-19.083969465648856,98.9243034290349,0.1404,1.829,155,44.16,0.906,entro il 1970
069035,Francavilla al Mare,25663,7.89573260458272,99.41595279307992,0.1327,0.632,4865,33.621,1.774,entro il 1990
