Data;Ora;Luogo;Feriti;Tipo;Latitudine;Longitudine
01/01/2023;01:05;"VIALE NICOLETTI ROSARIO altezza (spec.) bypass ""Elenka""";0;C;38,191478;13,290036
01/01/2023;01:34;VIALE REGIONE SICILIANA N.O. altezza del civico 9203;1;F;38,175934;13,295676
01/01/2023;05:45;CORSO CALATAFIMI di fronte al civico 657;0;C;38,103632;13,331643
01/01/2023;17:48;VIALE LEONARDO DA VINCI altezza del civico 440;1;R;38,126682;13,312738
02/01/2023;01:40;VIA CIACULLI pressi -;1;F;38,088362;13,388547
02/01/2023;13:00;VIA BONOMO GABRIELE altezza (spec.) fiamme gialle;0;C;38,127556;13,361194
02/01/2023;20:00;VIA CORSELLI RODOLFO GEN. nr. 5;0;C;38,096604;13,397683
02/01/2023;20:45;CORSO TUKORY intersezione VIA FILICIUZZA;1;F;38,10819;13,356827
03/01/2023;03:00;VIA PRINCIPE DI PALAGONIA intersezione VIA PEROSI LORENZO;2;R;38,135262;13,336245
03/01/2023;08:15;VIA D'ONDES REGGIO VITO intersezione VIA CORAZZA FILIPPO;1;F;38,107954;13,362949
03/01/2023;12:50;VIA CATANIA altezza del civico 60;1;F;38,127492;13,34846
03/01/2023;13:20;VIALE REGIONE SICILIANA S.E. altezza PONTE BONAGIA;2;F;38,087734;13,361457
03/01/2023;13:30;VIALE MARCHESE DI VILLABIANCA intersezione VIA DUCA DELLA VERDURA;1;F;38,134397;13,35229
03/01/2023;13:40;VIA AUSONIA altezza del civico 31;0;C;38,146925;13,337143
03/01/2023;17:30;VIA MOGIA intersezione con VIA RANZANO PIETRO;1;F;38,117662;13,349306
03/01/2023;23:45;VIALE REGIONE SICILIANA S.E. altezza DIREZ TP;2;F;38,088276;13,34704
04/01/2023;02:20;FORO UMBERTO I altezza NH Hotel;0;C;38,115567;13,375536
04/01/2023;02:30;VIALE DE GASPERI ALCIDE intersezione VIA AUSONIA;3;F;38,149776;13,334576
04/01/2023;10:00;VIA CAVOUR CAMILLO altezza del civico 141;0;C;38,121456;13,358638
04/01/2023;14:30;CORSO CALATAFIMI altezza del civico 667;2;F;38,103456;13,331224
04/01/2023;17:30;VIA DAITA GAETANO intersezione con VIA GALLO;1;F;38,125886;13,355873
