la,lo,s,n
54.5517,-1.3021,2,1
54.5406,-1.2975,3,1
54.5608,-1.3203,3,1
53.3883,-2.6127,3,1
53.8019,-3.0114,3,1
53.823,-3.0177,3,1
53.7616,-0.3502,3,1
53.7786,-0.3654,3,1
53.8103,-0.8917,3,1
53.5699,-0.0662,3,1
53.5519,-0.5822,3,1
53.9541,-0.967,2,1
53.9506,-1.1216,2,1
52.8957,-1.4538,3,1
52.8929,-1.4246,3,1
52.6244,-1.1397,3,1
52.6499,-1.1225,3,1
52.6519,-1.0533,3,1
52.9603,-1.1766,3,1
52.9981,-1.1826,3,1
52.9978,-2.2119,2,1
51.3681,-2.5474,3,1
51.3949,-2.414,3,1
51.4565,-2.5925,3,1
51.3371,-2.7834,3,1
50.4187,-4.1725,2,1
51.5614,-1.8151,3,1
51.8987,-0.4462,3,1
51.8741,-0.4191,3,1
51.5357,0.7738,3,1
51.5453,0.6868,3,1
51.5496,0.3991,3,1
51.4908,0.2805,3,1
51.4784,0.3548,3,1
51.4915,0.286,2,1
51.3804,0.5102,3,1
51.3605,0.521,3,1
51.403,-0.7652,3,1
51.4147,-1.2139,3,1
51.5112,-0.6031,3,1
51.5281,-0.6217,3,1
51.5098,-0.5898,3,1
52.0124,-0.7402,3,1
52.0542,-0.7858,3,1
50.863,-0.1093,3,1
50.8319,-0.1482,3,1
50.8283,-0.1388,3,1
50.7998,-1.1031,3,1
50.7985,-1.0957,3,1
50.9021,-1.342,3,1
50.7216,-1.2691,2,1
54.7721,-1.4759,3,1
53.1941,-2.4533,3,1
53.2836,-2.8956,3,1
52.9838,-2.7136,3,1
52.5181,-2.4245,3,1
52.6588,-2.3046,3,1
50.2865,-5.2403,3,1
51.1801,-2.1947,3,1
51.2629,-2.1814,3,1
51.4602,-2.1253,3,1
52.1359,-0.4713,3,1
52.0946,-0.2522,3,1
52.0132,-0.2042,2,1
51.8538,-0.5492,3,1
55.125,-1.5053,3,1
55.2704,-1.7786,3,1
50.74,-1.8875,3,1
50.7616,-1.8125,3,1
50.7288,-1.939,3,1
51.6274,-0.7306,3,1
51.5608,-0.5169,3,1
51.7064,-0.6139,3,1
53.961,-1.2201,2,1
54.0077,-1.465,2,1
54.1622,-2.5071,3,1
54.3022,-2.1632,3,1
54.2669,-1.6592,2,1
54.2744,-0.412,3,1
54.1309,-0.9126,3,1
54.4708,-0.6294,3,1
54.4658,-1.5445,3,1
51.2365,-2.5785,3,1
50.928,-2.9098,3,1
51.039,-3.0536,3,1
53.5355,-2.364,3,1
53.5747,-2.4349,3,1
53.6115,-2.2791,2,1
53.4069,-2.2972,2,1
53.4645,-2.2262,3,1
53.5002,-2.1784,3,1
53.4305,-2.2316,3,1
53.5858,-2.1663,3,1
53.6273,-2.1565,3,1
53.4775,-2.3675,3,1
53.4826,-2.309,3,1
53.5021,-2.258,3,1
53.4023,-2.3323,3,1
53.5425,-2.6349,2,1
53.5134,-2.4469,3,1
53.4503,-2.911,3,1
53.3885,-2.9124,3,1
53.3925,-2.9336,3,1
53.4063,-2.9981,3,1
53.5085,-2.786,3,1
53.5534,-3.04,3,1
53.461,-3.0072,2,1
53.4969,-3.0356,3,1
53.3586,-3.0005,3,1
53.3725,-3.0309,3,1
53.3039,-2.9611,3,1
53.3378,-3.0231,3,1
53.5177,-1.4469,2,1
53.5675,-1.1566,3,1
53.5034,-1.1649,2,1
53.3585,-1.2722,1,1
53.4109,-1.4784,3,1
53.4078,-1.4449,3,1
53.3215,-1.4757,2,1
55.0246,-1.4936,2,1
54.8032,-1.4349,3,1
54.9033,-1.5183,3,1
52.4098,-1.8746,2,1
52.5338,-1.8388,2,1
52.4389,-1.8712,3,1
52.4707,-1.8788,3,1
52.4267,-1.9221,3,1
52.4658,-1.8095,3,1
52.4754,-1.9204,3,1
52.4721,-1.9353,3,1
52.4248,-1.4742,3,1
52.4154,-1.4532,3,1
52.434,-1.5066,3,1
52.5134,-2.0633,1,1
52.4891,-2.0776,3,1
52.5416,-1.9845,2,1
52.5879,-2.1246,2,1
52.588,-2.1326,3,1
52.5728,-2.126,3,1
53.7556,-1.7428,3,1
53.8297,-1.7656,2,1
53.8235,-1.7366,3,1
53.7918,-1.7111,3,1
53.7255,-1.6354,3,1
53.7453,-1.6926,3,1
53.8152,-1.5628,3,1
53.7295,-1.5642,2,1
53.7979,-1.6737,3,1
53.7243,-1.5637,3,1
53.8154,-1.4531,3,1
53.8197,-1.5138,3,1
53.8809,-1.5878,2,1
53.6373,-1.5012,3,1
53.6784,-1.2614,2,1
54.9497,-1.5922,3,1
51.5356,0.0701,3,1
51.5732,-0.2293,3,1
51.5668,-0.2065,3,1
51.5834,-0.1997,3,1
51.5641,-0.2118,3,1
51.5784,-0.2077,3,1
51.5598,-0.219,2,1
51.5906,-0.2132,2,1
51.4636,0.1871,3,1
51.4575,0.1433,3,1
51.456,0.1315,3,1
51.5807,-0.3195,3,1
51.5873,-0.2515,3,1
51.5472,-0.2662,3,1
51.4085,-0.0384,3,1
51.5272,-0.1386,3,1
51.5529,-0.1882,2,1
51.5453,-0.1774,3,1
51.3894,-0.0454,3,1
51.4104,-0.1226,3,1
51.3153,-0.1359,3,1
51.5097,-0.328,3,1
51.5361,-0.3452,3,1
51.6108,-0.0462,3,1
51.6274,-0.0601,3,1
51.6557,-0.0762,3,1
51.641,-0.0353,3,1
51.4527,0.0345,3,1
51.5522,-0.056,3,1
51.5646,-0.0598,3,1
51.5495,-0.06,3,1
51.5144,-0.2365,3,1
51.5102,-0.2245,3,1
51.4885,-0.2044,3,1
51.5848,-0.1223,3,1
51.589,-0.061,3,1
51.5696,-0.1075,3,1
51.5948,-0.3594,3,1
51.5916,-0.2977,3,1
51.592,-0.3512,3,1
51.463,-0.4935,3,1
51.5406,-0.4922,3,1
51.5647,-0.1056,2,1
51.5364,-0.1019,3,1
51.5576,-0.1192,3,1
51.4922,-0.1613,3,1
51.4197,-0.3019,3,1
51.4234,-0.1185,3,1
51.4652,-0.1298,3,1
51.4284,0.0134,3,1
51.4351,-0.0567,3,1
51.4445,-0.0241,3,1
51.4016,-0.1417,3,1
51.5465,0.0258,3,1
