la,lo,s
54.5938,-1.1258,3
54.5205,-1.4729,3
54.5228,-1.5285,2
53.3969,-2.5896,3
53.3999,-2.5945,3
53.7304,-2.4745,3
53.7368,-2.4671,3
53.8016,-3.0111,3
53.8688,-3.0244,2
53.8546,-3.0406,3
53.8394,-3.0505,2
53.7473,-0.2995,3
53.7544,-0.295,3
53.7369,-0.3642,2
53.7288,-0.5309,3
53.569,-0.8184,3
53.968,-1.0873,3
52.8851,-1.4861,3
52.9204,-1.3931,3
52.6474,-1.0698,3
52.6398,-1.1177,2
52.6302,-1.1244,3
52.5957,-0.7627,2
52.9665,-1.1537,3
52.238,-2.7456,3
52.058,-2.7095,2
52.0802,-2.6003,2
51.4543,-2.5839,3
51.4617,-2.5011,3
51.471,-2.4822,3
51.5477,-2.5683,3
51.4877,-2.5044,3
50.3684,-4.1418,3
51.5593,-1.8115,3
51.5549,-1.7344,3
51.6085,-1.7947,2
51.5441,-1.7399,3
51.5665,-1.8042,3
52.586,-0.2464,3
52.5852,-0.2499,3
51.8941,-0.4912,3
51.5338,0.7183,3
51.5418,0.6965,2
51.5405,0.7309,2
51.4899,0.4091,3
51.3752,0.5386,3
51.3624,0.5557,3
51.4178,-0.7553,3
51.4141,-1.5131,3
51.5305,-0.6108,3
51.493,-0.5337,3
52.0542,-0.7281,3
51.9915,-0.7212,3
52.0041,-0.7259,3
50.8529,-0.1549,3
50.7798,-1.0825,3
50.8388,-1.0296,3
50.9407,-1.4071,3
50.9199,-1.4043,3
54.6846,-1.6242,3
53.2824,-2.9078,3
53.2632,-2.8752,3
52.8594,-3.0368,2
50.2311,-5.2429,3
50.3799,-4.937,3
50.4161,-4.8449,3
50.309,-5.1759,3
50.1257,-5.5276,3
50.5958,-4.476,2
51.3016,-1.8381,3
51.0823,-1.8312,3
51.5506,-2.1148,3
51.2846,-2.0529,3
51.882,-0.5378,3
51.8543,-0.4249,3
55.0746,-1.5731,3
50.7268,-1.9394,3
50.7322,-1.872,3
50.7742,-1.9108,3
50.7425,-1.7406,3
50.7341,-1.8501,3
50.7515,-1.8497,3
50.6649,-2.358,2
50.6656,-2.5994,3
51.7236,-0.621,2
51.8237,-0.8291,3
52.4567,-0.8214,3
52.4021,-0.7355,3
52.4164,-0.7213,3
52.333,-1.1757,3
52.2575,-0.9465,2
54.4807,-3.5358,3
54.6615,-3.2821,3
54.5967,-3.1385,3
54.5611,-3.5783,3
54.1589,-2.4499,3
54.3252,-2.257,2
54.2767,-0.4184,3
54.4107,-1.7429,3
54.2452,-1.3357,3
51.0182,-3.065,3
51.2075,-2.5034,2
51.24,-2.9434,3
51.1018,-2.9951,3
50.9965,-2.5838,3
50.9347,-2.6515,3
51.117,-2.977,3
53.5499,-2.4687,3
53.5832,-2.4016,3
53.5642,-2.351,3
53.5263,-2.2589,3
53.5631,-2.3229,2
53.4983,-2.2385,3
53.4659,-2.2155,3
53.5512,-2.1941,3
53.4795,-2.3633,2
53.4451,-2.1573,2
53.4002,-2.2176,3
53.3955,-2.2132,3
53.4518,-2.0818,3
53.4544,-2.1487,3
53.4761,-2.0627,3
53.3683,-2.3126,3
53.4756,-2.5824,3
53.4888,-2.8998,2
53.4646,-2.9568,3
53.4131,-2.9142,3
53.3654,-2.8986,3
53.4282,-2.9497,3
53.4068,-2.9261,3
53.413,-2.9203,3
53.4655,-2.9571,3
53.4192,-2.8848,3
53.4503,-2.936,3
53.4289,-2.9314,3
53.3715,-3.1503,3
53.4368,-3.0672,3
53.547,-1.4638,3
53.5505,-1.4891,3
53.5419,-1.5853,3
53.4878,-1.0541,2
53.5057,-1.0685,3
53.5007,-1.2946,3
53.6371,-0.966,3
53.4498,-1.4034,3
53.434,-1.3503,3
53.4066,-1.5475,2
53.3837,-1.5024,3
53.4011,-1.4173,3
54.9882,-1.5601,3
54.9947,-1.5651,2
54.9929,-1.4868,3
54.9957,-1.5043,3
54.8925,-1.4274,3
54.9065,-1.4027,2
52.5124,-1.8798,3
52.4419,-1.8921,3
52.502,-1.8541,3
52.424,-1.9568,3
52.4629,-1.8756,3
52.5022,-1.888,3
52.4869,-1.9024,3
52.465,-1.9438,3
52.4368,-1.8926,3
52.4195,-1.5098,2
52.5125,-2.1244,3
52.5016,-2.136,3
52.5313,-2.0316,3
52.4995,-2.0282,2
52.493,-2.0603,2
52.5031,-2.033,3
52.4079,-1.8408,3
52.3904,-1.8502,2
52.415,-1.8286,2
52.6188,-2.0043,3
52.5853,-2.12,3
53.8484,-1.8429,2
53.7713,-1.8043,2
53.7667,-1.742,3
53.5995,-1.7992,2
53.7265,-1.7168,3
53.6309,-1.6351,3
53.7183,-1.6253,3
53.7345,-1.7279,3
53.7485,-1.5313,2
53.8149,-1.5602,2
53.8015,-1.4979,2
53.7957,-1.5508,3
53.7889,-1.5523,3
53.7299,-1.5964,3
53.7168,-1.4963,3
53.7271,-1.3594,3
53.7188,-1.3758,3
53.6084,-1.2875,3
53.6928,-1.3186,2
53.667,-1.4827,3
54.9306,-1.5973,2
54.9023,-1.5781,3
54.9499,-1.5687,3
51.5129,-0.0965,2
51.5389,0.0797,3
51.6433,-0.2129,3
51.5951,-0.2168,3
51.5902,-0.1722,3
51.5784,-0.2075,3
51.4536,0.0962,3
51.4757,0.1604,3
51.5559,-0.2144,3
51.5389,-0.2498,3
51.5447,-0.2526,3
51.3976,0.0219,3
51.4127,0.0737,3
51.5173,-0.125,3
51.5461,-0.1479,3
51.5617,-0.1808,3
51.5203,-0.134,3
51.4091,-0.1222,3
51.4094,-0.0868,3
51.5083,-0.2759,3
51.5264,-0.3527,3
51.5217,-0.2915,3
51.5013,-0.3825,3
51.6138,-0.087,2
51.6145,-0.0639,3
51.4508,0.0521,3
51.4994,0.1147,3
51.5311,-0.0807,2
51.5481,-0.0688,3
51.4703,-0.1911,3
51.4915,-0.2301,3
51.493,-0.2363,3
51.5987,-0.0706,3
51.6051,-0.0736,3
51.6071,-0.0858,3
51.6114,-0.3041,3
51.6024,-0.3154,3
51.583,0.1897,3
51.5952,0.1747,3
51.5175,-0.4641,3
51.4982,-0.4109,3
51.5206,-0.4154,3
51.4748,-0.4027,3
51.4938,-0.3276,2
51.5007,-0.2848,3
51.4751,-0.3406,3
51.4824,-0.3113,3
51.4876,-0.2673,3
51.5743,-0.1212,3
51.5414,-0.0973,3
51.5491,-0.1178,3
51.5015,-0.2121,3
51.4108,-0.2995,2
51.4747,-0.1108,3
51.4614,-0.1151,3
51.464,-0.1147,3
51.4577,-0.129,3
51.4411,-0.1063,3
51.479,-0.1145,3
51.4564,-0.0146,3
51.4723,-0.0314,3
51.4402,-0.0537,3
51.4139,-0.2023,3
51.5173,0.0216,3
51.5443,0.0288,3
51.5413,0.0228,3
51.5763,0.04,3
51.5605,0.0963,3
51.4289,-0.3242,3
51.4944,-0.085,3
51.4808,-0.0945,3
51.4908,-0.0811,3
51.4516,-0.1011,3
51.4482,-0.0777,2
51.4934,-0.1009,2
51.4892,-0.075,3
51.4859,-0.1084,2
51.3476,-0.206,3
51.3688,-0.1915,3
51.3844,-0.1741,3
51.5138,-0.0144,3
51.5185,-0.0764,3
51.5349,-0.0343,2
51.574,-0.01,3
51.4305,-0.1642,3
51.428,-0.1681,3
51.446,-0.1456,3
51.465,-0.1585,3
